"","conceptType","conceptUri","iscoGroup","preferredLabel","altLabels","hiddenLabels","status","modifiedDate","regulatedProfessionNote","scopeNote","definition","inScheme","description","code","onet_title","onet_code"
"54","Occupation","http://data.europa.eu/esco/occupation/7720f392-6ea0-4455-a805-7b7eef38a709","5112","passenger fare controller","ticket controller
fare controller
ticket inspector
passenger ticket attendant
ticket conductor
passenger fare controller
controller
controller of cable vehicle fares
passenger ticket controller
cable vehicle attendant","","released","2020-09-10T12:41:33.68Z","http://data.europa.eu/esco/regulated-professions/unregulated","Excludes drivers.","","http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Passenger fare controllers collect tickets, fares, and passes from passengers. They answer questions from passengers concerning transport rules, station, and timetable information.","5112.3.1",NA,NA
"55","Occupation","http://data.europa.eu/esco/occupation/7819669b-30c2-42e6-a1c4-0bcd6f0379ff","2422","international relations officer","international relations officer
international development officer
international relations director
inter governmental cooperation officer
international manager","","released","2022-07-14T08:26:51.676Z","http://data.europa.eu/esco/regulated-professions/unregulated","","","http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","International relations officers ensure the development of cooperation between international public organisations and governments. They facilitate communication between their organisation and foreign organisations and develop collaboration strategies, promoting a collaborative relationship beneficial for both parties.","2422.9",NA,NA
"56","Occupation","http://data.europa.eu/esco/occupation/7a031723-2b2c-4fdd-8ed5-30d67088b8b8","1221","licensing manager","trainee international licensing manager
senior licensing manager
assistant licensing manager
graduate international licensing manager
graduate brand licensing manager
trainee licensing manager
graduate licensing and brand manager
senior international licensing manager
assistant licensing and brand manager
senior brand licensing manager
licensing manager
trainee brand licensing manager
trainee licensing and brand manager
graduate licensing manager
assistant international licensing manager
assistant brand licensing manager
senior licensing and brand manager","","released","2021-12-08T19:36:09.062Z","http://data.europa.eu/esco/regulated-professions/unregulated","","","http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Licensing managers oversee licenses and rights of a company regarding use of its products or intellectual property. They ensure that third parties comply with specified agreements and contracts, and negotiate with and maintain relationships between both parties.","1221.3.2.1.2",NA,NA
"57","Occupation","http://data.europa.eu/esco/occupation/7f7d2bfe-f038-436f-95ff-29bc90726430","5419","aircraft marshaller","aircraft marshaller
marshaller of aircraft
marshaller
aircraft ground handler
aeroplane ground handler
aeroplane marshaller
ground marshaller
aircraft ground marshaller
aircraft signal crewman
aeroplane signal crewman","","released","2016-07-05T17:13:20Z","http://data.europa.eu/esco/regulated-professions/unregulated","","","http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Aircraft marshallers signal pilots to assist them in operations such as turning, slowing down, stopping, and shutting down engines. They lead aircrafts to their parking stands or to the runway. They also indicate directions to the pilots by driving a ""follow-me"" car.","5419.1",NA,NA
"58","Occupation","http://data.europa.eu/esco/occupation/82e37849-30ec-4461-a40e-263d4c984f88","2114","palaeontologist","ichnologist
palaeontology analyst
palaeoecologist
palaeontology scholar
palaeontology research analyst
palaeontology science researcher
palaeontology researcher
palaeontology scientist
paleontologist
palaeontology research scientist
micropalaeontologist","","released","2022-07-05T14:42:21.456Z","http://data.europa.eu/esco/regulated-professions/unregulated","","","http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/8ae4b9f3-507e-4057-a145-2f96f0132613,
http://data.europa.eu/esco/concept-scheme/member-occupations","Palaeontologists research and analyse forms of life that existed in ancient eras of the planet Earth. They strive to define the evolutionary path and the interaction with different geological areas of all kinds of once organisms and such plants, pollen and spores, invertebrate and vertebrate animals, humans, traces such as footprints, and ecology and climate.","2114.1.9",NA,NA
"59","Occupation","http://data.europa.eu/esco/occupation/853698f5-0f1e-42ae-9301-e5411a26dae2","2320","armed forces training and education officer","military training and education officer
military academy instructor
armed forces trainer
training and education officer in armed forces
armed forces educator
armed forces training and education officer
military instructor
armed forces instructor
military trainer","","released","2022-01-13T10:00:32.502Z","http://data.europa.eu/esco/regulated-professions/unregulated","","","http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Armed forces training and education officers train probationary, new academy recruits, or cadets, on the theory and practice necessary to become a soldier or a military officer, and need experience as a military officer themselves as a requirement to instruct. They prepare and present theoretical courses and materials during training on subjects such as law, national and international regulations, defense and offense models, world affairs etc. They also conduct the physical training of the cadets, teaching them care and usage of weapon and machinery, first aid, self defense and offense techniques, military vehicle operations, and putting them through a series of heavy drills and physical training. Armed forces training and education officers manage training plans by developing and updating the curriculum and field training exercises when necessary. They also assist senior officers in preparation for a promotion and generally monitor the cadets' progress and evaluate their performance through a series of theoretical and physical tests. They prepare performance and evaluation reports for each cadet individually.","2320.1.3",NA,NA
"60","Occupation","http://data.europa.eu/esco/occupation/874a2080-a9b6-46a9-8662-c9b7d4208f73","3432","set designer","exibition designer
scenic designer and artist
scenic artist
theatre designer
scene designer
scenographer
theater designer
scenery artist
scenic artist & designer
scenic designer
set designer, builder and dresser
scenic artist and designer
set designer, builder & dresser
scenic designer & artist
set designer","","released","2021-12-13T19:32:38.925Z","http://data.europa.eu/esco/regulated-professions/unregulated","","","http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Set designers develop a set concept for a performance and supervise the execution of it. Their work is based on research and artistic vision. Their design is influenced by and influences other designs and must be conform with these designs and the overall artistic vision. Therefore, the designers work closely with artistic directors, operators and the artistic team. During rehearsals and performance they coach the operators to obtain optimal timing and manipulation. Set designers develop sketches, design drawings, models, plans or other documentation to support the workshop and performance crew. They may also design exhibition stands for fairs and other events. ","3432.5",NA,NA
"61","Occupation","http://data.europa.eu/esco/occupation/8918dda6-d99b-4572-a8ba-2a786bf5e4e9","7533","doll maker","dolls clothes maker
porcelain doll maker
doll maker
dolls house furniture maker
plastic dollmaker
dolls fashion designer
antique doll repairer
wooden dollmaker
dollmaker
dolls house maker
wooden doll maker
doll repairer
dolls accessories maker
porcelain dollmaker
plastic doll maker","","released","2016-07-05T16:56:05Z","http://data.europa.eu/esco/regulated-professions/unregulated","","","http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Doll makers design, create and repair dolls using various materials such as porcelain, wood or plastic. They build moulds of forms and attach parts using adhesives and handtools.","7533.1",NA,NA
"62","Occupation","http://data.europa.eu/esco/occupation/8cf68522-dfc9-43c0-9f65-892703f4705e","7412","ground lighting officer","airport ground lighting engineer
airfield ground lighting engineer
airfield lighting officer
leader of airport lighting team
airport lighting officer
ground lighting officer
airport lighting supervisor
airfield ground lighting officer
ground lighting engineer
airport lighting team leader
airport lighting team manager","","released","2021-10-05T17:00:04.86Z","http://data.europa.eu/esco/regulated-professions/unregulated","","","http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Ground lighting officers carry out the inspection and maintenance of airports' lighting systems. They record their findings and formulate the actions to be followed.","7412.5",NA,NA
"63","Occupation","http://data.europa.eu/esco/occupation/8f928d49-da89-4d07-9123-2151a4d276d4","1324","move manager","company move manager
industrial move manager
corporate move manager
removal coordinator
moving manager
move manager
removal manager
relocation manager","","released","2016-07-05T17:07:24Z","http://data.europa.eu/esco/regulated-professions/unregulated","","","http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Move managers coordinate all the resources and activities comprised in moving services. They work together with clients to define the requirements of the service and adapt it to their demands. They manage communication with shipping companies, planners, and movers to assure compliance, business efficiency, and client satisfaction.","1324.4",NA,NA
